cleaned_messages,MessageType
<Media omitted>,Non-Flirt
Happy new year poooooorrr🥰,Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Just we 3,Non-Flirt
Adiyei,Non-Flirt
Ena silent uh mudichitinga,Non-Flirt
,Non-Flirt
Sudden ah barani plan re,Non-Flirt
Is he with u?,Non-Flirt
Yes.. delivery tym nala vandhrukan,Non-Flirt
Na check up ku vandhruken,Non-Flirt
Ne kutty epdi irukinga,Non-Flirt
Kutty sleeping,Non-Flirt
Nee epdi iruk,Non-Flirt
Inga deepshi amma ku as planned operation pani baby eduthutnaga,Non-Flirt
Boy bany,Non-Flirt
*baby,Non-Flirt
Unakum nee aasa pata mathiri ponnu porakatum,Non-Flirt
I'll pray fa you,Non-Flirt
Stay safe,Non-Flirt
Doc ena date solranga nu solu enaku,Non-Flirt
Coming week sollirkanga,Non-Flirt
Pakalam,Non-Flirt
Sooooprr.... congratulations,Flirt
waiting,Non-Flirt
Pongal ku munadiye release ayiduva polaye,Non-Flirt
Therila poooor... pakalam,Non-Flirt
Avaroda birthday is on 13th.. 🥰🥰,Non-Flirt
Anaike avalum varatum,Non-Flirt
Hw r u feeling...,Non-Flirt
Thursday paapa vara pora nu excited uh irukiya,Non-Flirt
Adipavi,Non-Flirt
Mudivae pannitiya...,Non-Flirt
Yaarku theriyum Thursday dha varapogudhunu,Non-Flirt
Solikaa vendiyathu dan,Non-Flirt
Unaku due next month dana,Non-Flirt
2nd baby nu munadiye vanthuducha?,Non-Flirt
Jan 25 sollirkanga... but 2nd baby nala 38 liyae vaipu irukam,Non-Flirt
Oh ok ok.. nalapadiya vantha pothum,Non-Flirt
Stay happy,Flirt
Send one pic re,Non-Flirt
Yash odadhu,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
,Non-Flirt
Ipo dan moonji parthu pesura.. nalla kuda kuda aaa OOO nu pesura..,Non-Flirt
Yarum velaye seiyarthu ila,Non-Flirt
🤣🤣,Non-Flirt
Jiya vum last week dha pesa start Panna,Non-Flirt
2 months aachula..,Non-Flirt
Nalla diff iruku,Non-Flirt
Hummmmm....,Non-Flirt
Face apdiye en mamiyar moonji varutbu,Non-Flirt
Jan 27th varanumnu order pktanga,Non-Flirt
Naa mudiyathu 6th month varenu sonen,Non-Flirt
Nane adha solla vandhen,Non-Flirt
Vanthutu 29th poidu nu solranga..,Non-Flirt
Amma appa un ishmtam nu solranga,Non-Flirt
Humm... 2 days dhana,Non-Flirt
After I fought,Non-Flirt
Before baby sandai vanthapo... Thani kudithanam veikurenu sonangala,Non-Flirt
Idhatha na edhir pathen,Non-Flirt
Jayaram um 1 month aachum en parents baby kuda irukanum nu solran,Non-Flirt
Jayram reaction,Non-Flirt
Enaku tension aagutbu,Non-Flirt
Stress mattum thalaila ethikadha... feed pannanum adha ippo mukiyam,Non-Flirt
Canada process Inna aachu,Non-Flirt
Ivan soft by nature la.. ethirthu pesa matran,Non-Flirt
Kozhandhanu vandhuta ipdidha nadakum,Non-Flirt
Inum documents eh submit panala,Non-Flirt
Atha vechi blackmail ipo,Non-Flirt
Adhula concentrate pannalam la,Non-Flirt
Naa visa vanthu flight ticket book panina antha last 1 month unga kuda irukenu soliten,Non-Flirt
v gud ..,Non-Flirt
Oru chance dha kuduthu paren...,Non-Flirt
Atleast for a month,Non-Flirt
Nadikuranga priya..,Non-Flirt
Kolanthai kaga hospital uh admit ayiruken..,Non-Flirt
Unga appa kittaiyae va,Non-Flirt
Yes car la porapo,Non-Flirt
Apdi innadha korai kandupudichangalooo... therila   🤦‍,Non-Flirt
Ithelam vida oru kodumai nadanthuchu priya.. vandhana ku operation aana anaiku ivangalum vanthu elam info um collect panikitanga... Avanga relatives kita elarkitayum uterus operation panitanganu solitanga.. baby naming function apo elarum vanthu vandhana kitaye epdi Irukanu ketanga... Vandhana romba upset aayita... Apo la irunthu iva pesarthu ila en mamiyar kuda...,Non-Flirt
Epdi irukanu dhana kettanga... Vera edhum thappa kekala la,Non-Flirt
🤣🤣🤣 kadavulaeeeee,Non-Flirt
Uterus operation nu specific uh ketu ena aachu visarikuranga.. nanga yarkitayum solala Ivaluku ovary remove panatha... Ipo Avanga relatives elarukum therinji pochu..,Non-Flirt
Kolanthai porukuma nu antha discussion ver pochu,Non-Flirt
Unga meladha thappu,Non-Flirt
Unga mamiyar kitta en detail ah explain panninga,Non-Flirt
Avasiyamae illa,Non-Flirt
Adha matter ah avoid pannirkalamae,Non-Flirt
Indga sensitive matter ah Unga 5 per kulla vechikanum,Non-Flirt
Hey hospital ku vantanga de,Non-Flirt
She stayed till 1am that night just to know info..,Non-Flirt
Athan vandhana tension aayita,Non-Flirt
Itha yen elarkitayum solranga nu,Non-Flirt
Gaandaguthu,Non-Flirt
Enaku suthama pogave pudikala,Non-Flirt
Ippodhiku 2 days poitu vandhru,Non-Flirt
Den 6th month dhana,Non-Flirt
Plan later,Non-Flirt
Idhu common re... ella mamiyarum ipdidha .. indha vishayathula..  purinjika maatanga,Non-Flirt
Thas it ... ippodhiku nariya manasula pottu kolapikadha,Non-Flirt
Visa vandhadhu ..  appointment dhana,Non-Flirt
Hum,Non-Flirt
Ohhhhh apdiya ... ok,Non-Flirt
Appo chill re... prechanaiyae illa,Non-Flirt
Hum...,Non-Flirt
Ivaruku .. Feb la appointment ippodha fix aayirku,Non-Flirt
,Non-Flirt
Nallathu.. finally..,Non-Flirt
US visa interview na nalla prepared uh ponum...,Non-Flirt
He was waiting for a long tym... indha Corona,Non-Flirt
Theriyum.. last yr eh vanthuche.,Non-Flirt
Hum... family nala romba questions irukadhunu solranga pakalam,Non-Flirt
Canada poitu nangalum 2 or 3 yrs la will move to US.. since his sister is there la...,Non-Flirt
Nadula indha omicron vera,Non-Flirt
Hum,Non-Flirt
Athe dan,Non-Flirt
Parpom naama US frns aagalam,Non-Flirt
,Non-Flirt
Adipaavi... first 2 days Unga mamiyar veetuku poitu nallapadiya va,Non-Flirt
Naa Jayram kuda 2 days irukalam nu dan poren...,Non-Flirt
Hum... apdiyum sollikalam,Non-Flirt
Inga vanthalum he sleeps in diff room only.. so athukaga dan naa Anga poren..,Non-Flirt
Hey..  seri seri ...,Non-Flirt
Sapda poren pooooor....,Non-Flirt
Take care re,Non-Flirt
,Non-Flirt
Romance ku ila de.. jayaram ku paapa va katti pudichitu thoonganum nu aasai... Athukaga dan..,Flirt
Nalla saptu happy uh iru,Flirt
U too,Non-Flirt
Waiting for the princess arrival,Non-Flirt
Puridhu... pooor,Non-Flirt
,Non-Flirt
Vandha rombaaaaa happydhan,Non-Flirt
Amudhamaai olikapoguthu aval kural..,Non-Flirt
Krithigai natchathiram la unaku pudicha date la murugare vanthutaru...,Non-Flirt
Romba santhoshama iruku,Non-Flirt
Next month la nee settle aanone yashvy akka va kutitu vanthu pakurom,Non-Flirt
Congratulations priya...,Flirt
Thank yu poooooor,Non-Flirt
<Media omitted>,Non-Flirt
Waiting to see him,Non-Flirt
Swamy Saranam,Non-Flirt
Itha yendi status uh potruka,Non-Flirt
🤣🤣,Non-Flirt
By mistake,Non-Flirt
Epdi irukan kutty,Non-Flirt
All are so eager to see the kiddo,Flirt
Omicron,Non-Flirt
<Media omitted>,Non-Flirt
Sun bath,Non-Flirt
Ivan una mathiri de priya..,Non-Flirt
Cute uh irukan like a girl baby,Flirt
🥰🥰🥰🥰,Non-Flirt
Seekerama varen kutty murugara parka,Non-Flirt
Nee epdi iruka?,Non-Flirt
Pain elam okay uh?,Non-Flirt
Paduthu elunthuka dan kashtama irukum..,Non-Flirt
Pain iruku,Non-Flirt
Hospital bed mathiri iruntha nalla irukumnu thonum to feed and all,Non-Flirt
Yes re,Non-Flirt
Na second day discharge aayiten,Non-Flirt
Appove okandhu kuduka start panniten,Non-Flirt
Don't worry 10 days la nee normal ayiduva.. light discomfort dan irukum for 20 days... Aprma onnumr theriyatgu...,Non-Flirt
Bearable dha,Non-Flirt
Yes apdi dan soluvanga,Non-Flirt
Motion ponum,Non-Flirt
Nadakanum free uh nu,Flirt
Next day itself they give trainign,Non-Flirt
Enaku paduthu elunthuka dan kashtama irunthuchu,Non-Flirt
Recovery mattum late aagudhu,Non-Flirt
Mathapadi rest all were quite bearable,Non-Flirt
1 month aagum nee complete uh velila vara...,Non-Flirt
Normal uh recovery eh theva ila,Non-Flirt
Unaku normal aagumnu nenachen,Non-Flirt
,Non-Flirt
Yen ipdi aacho,Non-Flirt
Bleeding Iruka?,Non-Flirt
Adhu oru big story....,Non-Flirt
No,Non-Flirt
Amma short uh sonanga kodi suthi irunthuchu 3 times nu... Still u tried for a day.. apram dan Operate panitanganu,Non-Flirt
Yes athan avangale clean panidrangale,Flirt
Aama fertility control operation panikiriya nu ketangala?,Non-Flirt
Yaarum kekala,Non-Flirt
Cool.. 2nd baby ku ketpanganu lavanya sona...,Non-Flirt
Iva panikala nu solitalam.. her sister panikitangalam..,Non-Flirt
Engalukum adhula Ishtam illa,Non-Flirt
Kutty Inna panra,Non-Flirt
Athelam panikatha..,Non-Flirt
mmm,Non-Flirt
Ipo dan 7 times laali paatu potu thoonga vechen,Non-Flirt
Utsav happy uh?,Flirt
Adipaaavi,Non-Flirt
He got new pal to play now,Non-Flirt
He is most happiest one,Flirt
Ipo elam over vilayatu... Paal kudika veikarthe Periya paada iruku..,Non-Flirt
expected..,Non-Flirt
Boy zone nu getha suthuvan,Non-Flirt
Kittathatta apdidha,Non-Flirt
Avandia first lendhen boy dha venum nu sonna,Non-Flirt
Yu sleep re,Non-Flirt
Ha ha.. kids are always like that.. they think same gender na no prob nu,Non-Flirt
Nee ena panra thoongama,Non-Flirt
Feeding,Non-Flirt
Ok ok... Naa ipo dan elathayum erakatitu padukuren...,Non-Flirt
Ok de,Non-Flirt
Will meet soon,Non-Flirt
Tak rest,Non-Flirt
OK,Non-Flirt
You will be alryt,Non-Flirt
Good night,Non-Flirt
Bye re,Non-Flirt
Gug nit,Non-Flirt
Thoongiten,Non-Flirt
Iniku paapa ku 11 th day la,Non-Flirt
Naming function irukume,Non-Flirt
Athan epdi pochu ena panra nu ketkalam nu,Non-Flirt
Hey poor Inga everything is upside down,Non-Flirt
Last Thursday Utsav ku fever,Non-Flirt
Friday daddy ku fever,Non-Flirt
Daddy tested positive,Flirt
So he was in quarantine,Non-Flirt
Front hall room la,Non-Flirt
Utsav ku fever nala kolapakkam anapchiten,Non-Flirt
Avar madipakkam pinnadi room la enna pathukitaru,Non-Flirt
Daddy was in front hall room .. mummy avara pathukitanga,Non-Flirt
Sunday morning amma ku fever ...,Non-Flirt
Ivar bayandhu enna kolapakkam ku kootitu vandhutaru...,Non-Flirt
Babrani ah Bangalore lendhu kalambhi madipakkam la dad mom pathuka vara sollitom..,Non-Flirt
Inga vandhadhum... yesterday mani got fever,Non-Flirt
Na varenu Utsav ah odanae keela avanga chitha kitta pathuka sollitom,Non-Flirt
Now mani is in hall,Non-Flirt
Na pinna en room la iruken,Non-Flirt
Inniku afternoon en mamiyarkum fever...,Non-Flirt
*En nilamaiya pathiya...*,Non-Flirt
Na mattum thaniya iruken,Non-Flirt
Unexpected things are happening re...,Non-Flirt
Omg...,Non-Flirt
Ipo nee epdi iruka?,Non-Flirt
Kutty paiyan epdi irukan,Non-Flirt
Paithiyam mattum pudikala,Non-Flirt
He's gud,Non-Flirt
Na Inna panradhu..,Non-Flirt
Una dan romba jakkarthaiya parthukanum,Non-Flirt
Nee inga vanthudu de,Non-Flirt
Here we all are safe...,Non-Flirt
We will take care of you,Non-Flirt
Adhanala dha ... enna quarantine pannitanga... fever irukravangala onna irukanga,Non-Flirt
Naa vanthu kooptukava?,Non-Flirt
Inga vanthu konja naal iru,Non-Flirt
Azhugaiya varudhu... but I'm controlling... na sad aayitan avan azhudhuduvan... erkanavae en nelamaiya nanachi Ulla varamudila pathukka mudilla nu thavikuran.. adha bold ah irukura madhiri kamchikuren,Non-Flirt
Ethana place nu na ippo alaiyardhu... romba bad ah feel aagudhu,Non-Flirt
Dont worry... This covid will not cause much prob... Everyone will be fine soon,Non-Flirt
Una nenachi dan enaku kavalaya iruku,Non-Flirt
Paravala.. u must be safe..,Non-Flirt
Yeah... correct dha.. but ipdi vandhadhu konja days kazhichu vandhrukalam... enna ipdi paduthi edukudhu,Non-Flirt
Yara solra?,Non-Flirt
5 days konjam palla kadichitu ottanum.. apram he will be ok nanakuren,Non-Flirt
Ipdi elam pesatha priya... Jay kum covid test eduthurukom.. ma in laws are also affected..,Non-Flirt
It's everywhere,Non-Flirt
Na thaniya avastha padradha sonnen.. pain koranjadhu kapram ipdi nadadhrukalam,Non-Flirt
Athan sonen variya.. I'll ask appa to pick u yp,Non-Flirt
Illa poor.. ne sonnadhae romba happy..,Non-Flirt
Adiyei thaniya kashta padatha,Non-Flirt
Pls take someone's help,Non-Flirt
Operation ipo dan ayiruku,Non-Flirt
1 month aagum to recover from paun,Non-Flirt
Athan solren also unakum udane affect aagum,Non-Flirt
Hey enaku already cold started... I don't want to spread to yu,Non-Flirt
Adipodi,Non-Flirt
Manase kekala,Non-Flirt
Thaniya Iruka intha time la nu,Non-Flirt
Pls let me know whateva u need,Non-Flirt
Humm.. sure,Non-Flirt
Kutty ku name decided u,Non-Flirt
?,Non-Flirt
Hum... porandha Annikae vechitom ... birth certificate la podradhuju,Non-Flirt
*Utsav Ravimanya*,Non-Flirt
Nalla iruka?,Non-Flirt
This message was deleted,Non-Flirt
Wow,Flirt
Inba... Romba azhaga iruku...,Non-Flirt
Koopda...,Non-Flirt
,Non-Flirt
Poor,Non-Flirt
Poooooor,Non-Flirt
Epdi iruka,Non-Flirt
Yash epdi iruka,Non-Flirt
Fine de,Non-Flirt
Nee epdi iruja,Non-Flirt
5 manike elunthutiya,Non-Flirt
Was feeding,Non-Flirt
Anga elarim okay uh,Non-Flirt
Yes ... ok dha... but still in quarantine,Non-Flirt
7 days dana quarantine,Non-Flirt
Jay mama Paris la irunthu vantharu avar kita irunthu elarukum positive... Except jay and his fam..,Non-Flirt
Aiyo,Non-Flirt
Inga ivardha Utsav kaga 15 days irukalamnu sollitaru,Non-Flirt
Vara weekend avanoda inoru mama ponnu marg nu last week eh elarum vantanga..,Non-Flirt
Marg ku varuvala nu therila,Non-Flirt
Poooor,Non-Flirt
Newborn shoot yaarachu unaku thrriyuma,Non-Flirt
Check yellowbirds in insta.. I love their work,Flirt
Engaluku vabthavanga enaku avlo satisfied uh ila,Non-Flirt
Hey,Non-Flirt
Semma costly qvanga,Non-Flirt
Avlola vendam,Non-Flirt
Any other,Non-Flirt
Will check and let u kno,Non-Flirt
Missed video call,Non-Flirt
Busy uh?,Non-Flirt
<Media omitted>,Non-Flirt
🤣🤣choppu vaaiiee,Non-Flirt
,Non-Flirt
Today we took photoshoot pooor,Non-Flirt
Wow.. yar vanthanga,Non-Flirt
Naa maranthe poiten sry,Non-Flirt
Epdiyo thedi kandupuduchen,Non-Flirt
Insta la,Non-Flirt
Reasonable ah irundhuchu,Non-Flirt
intha udampoda yendi..,Non-Flirt
Evlo aachu,Non-Flirt
Theriyum marandhutenu,Non-Flirt
10k,Non-Flirt
Very cheap de,Non-Flirt
Nalla panrangala?,Non-Flirt
Mathavanga la.. min 20k for 2 themes,Non-Flirt
Haha... adhula yosikamaya pannuvom..,Non-Flirt
Reason vechirkom,Non-Flirt
Oh,Non-Flirt
Kandipa,Non-Flirt
<Media omitted>,Non-Flirt
Epdi de sirika vecha,Non-Flirt
Pic to be framed,Non-Flirt
Beautiful,Flirt
Qvanae dhidirnu sirichan.. takkunu click pannom,Non-Flirt
🥰 cute,Non-Flirt
Hi de,Non-Flirt
We are cmg tomo,Non-Flirt
Need ur location,Non-Flirt
11.30 mathiri Anga irupom,Non-Flirt
OK pooooor,Non-Flirt
,Non-Flirt
Okay,Non-Flirt
Poor,Non-Flirt
Kozhandhaiya kootitu.. veyil tym laya vara pora,Non-Flirt
See we planbed,Non-Flirt
Evening varalam la..,Non-Flirt
Jay havr calls,Non-Flirt
He can't come,Non-Flirt
Atha,Non-Flirt
Utsav kum class irukum ..,Non-Flirt
Oh,Non-Flirt
Epdiyum ac car la dana varom,Non-Flirt
Online or school,Non-Flirt
??,Non-Flirt
Online,Non-Flirt
Nalaiku,Non-Flirt
Vera time set aagathu de,Non-Flirt
Paravala..,Non-Flirt
Seri ok .,Non-Flirt
I'll leave quick..,Non-Flirt
But many days uh planning,Non-Flirt
Pathukalam.. 🤣🤣,Non-Flirt
Nalaiku dan all are available,Non-Flirt
Madipakkam vandhrundha ... azhagha romba neram tym spend pannirkalam la...,Non-Flirt
Seri ok come ..,Non-Flirt
Nee ivlo seekerama Anga pova nu yaar nenacha,Non-Flirt
Also anna not available la,Non-Flirt
Vidu,Non-Flirt
Nadakarthu dan nadakum,Non-Flirt
Pooor,Non-Flirt
Wru,Non-Flirt
Kalambhitiya,Non-Flirt
Reached long back.. saptu kutty thookam potachu,Non-Flirt
U too tc ..,Non-Flirt
Soooo sorry,Non-Flirt
Gud,Non-Flirt
Priya..,Non-Flirt
Thaniya ponumnu decide panrathu thappa?,Non-Flirt
If things are not manageable... Thappu illa re..,Non-Flirt
Inna aachu,Non-Flirt
No one are supporting me,Non-Flirt
Even ma parents,Non-Flirt
Started packing things..,Non-Flirt
Ivanga rendu peraiyum pathuka correct ah irundhuchu,Non-Flirt
Adha reply Panna mudila poor,Non-Flirt
Nee paaru,Non-Flirt
I'll talk to you next week,Non-Flirt
Ipo anna kudave iru,Non-Flirt
Mm,Non-Flirt
Happy Anniversary darling,Flirt
Tq pooooor,Non-Flirt
Anna reached safe??,Flirt
Jay ketutu irukan,Non-Flirt
Yes re...,Non-Flirt
Pls ask anna to reach jay for any help,Non-Flirt
Kandipa poorna,Non-Flirt
Jay asked me to tell you this,Non-Flirt
Na already sonnen,Non-Flirt
,Non-Flirt
Hum,Non-Flirt
Hru feeling,Non-Flirt
Ok,Non-Flirt
Very tough to handle both,Non-Flirt
Romba kashtama iruku to see you struggle,Non-Flirt
Pls rethink to go to yr mom's,Non-Flirt
Rendu perukum semma cold,Non-Flirt
Utsav ku vandhuchu,Non-Flirt
Then inba ku vandhruchu,Non-Flirt
🥺🥺 mamiyar is helpful??,Non-Flirt
Kozhandha romba kashta pattutan.. breath panna,Non-Flirt
Omg.. paaapa is too young to handle it,Non-Flirt
Yes,Non-Flirt
Nebulizer veipanga... Try it .. he will feel better,Non-Flirt
3 days ah iruku..,Non-Flirt
Ippo konjam paravala,Non-Flirt
But still cure aaga matengudhu,Non-Flirt
Don't worry he will feel better soon,Flirt
hummmm,Non-Flirt
PriyA,Non-Flirt
Feed panrapo matum sharp pain varuthu,Non-Flirt
On left side,Non-Flirt
Last 2 days,Non-Flirt
Mudila,Non-Flirt
Pain breast laya,Non-Flirt
Amma saying it's normal,Non-Flirt
Yes,Non-Flirt
On the nipple,Non-Flirt
Nip care apply pannu,Non-Flirt
2 - 3 days la seri aagidum,Non-Flirt
Enakum adhae dha 2 days ah...,Non-Flirt
I'm applying that,Non-Flirt
Punnu mathiru ila dd,Non-Flirt
Naa thotta onnume aagala,Non-Flirt
Ohhhh,Non-Flirt
Ullukulla pain ah iruku,Non-Flirt
Iruka,Non-Flirt
Ava vaai vechi kudukra apo matum dan sharp pain,Non-Flirt
Appo Milk sooper secretion aagudhunu artham,Non-Flirt
🥺,Non-Flirt
Try to give often ... don't use formula milk,Non-Flirt
Ok,Non-Flirt
Will try,Non-Flirt
Pooor,Non-Flirt
Pain paravalaiya,Non-Flirt
Iva kadichiruka priya.. oru hole mathiri sharp uh punnu aachu,Non-Flirt
Cream potone I'm finr,Non-Flirt
Kutties ku cold epdi iruku,Non-Flirt
Nandha sonnenla..,Non-Flirt
Ippo paravala,Non-Flirt
Yash oda vacation card pic anapuriya,Non-Flirt
I got ma periods de,Non-Flirt
Amma vanthone eduthu thara solren..,Non-Flirt
After delivery ah,Non-Flirt
Yes,Non-Flirt
Hey ...,Non-Flirt
4 months dan aaguthu,Non-Flirt
,Non-Flirt
En frns ku ekam 8 months to 1yr aaachu,Non-Flirt
Ne netjiku period aanae,Non-Flirt
Na,Non-Flirt
Every one are shock,Non-Flirt
60 days dan aaguthu,Non-Flirt
U r like ma mother pola... Ma mom got periods in 30 days aam,Non-Flirt
Innum 60 kooda aagala,Non-Flirt
So soon,Non-Flirt
Hummm,Non-Flirt
🥺🥺,Non-Flirt
Kadupa iruku,Non-Flirt
,Non-Flirt
Enga veetla vera thaniya irukanum la.. ivalayum vechikutu.. mudila,Non-Flirt
🤣,Non-Flirt
Inga apdilam illa... nethu mattu. Head bath eduthukitten,Non-Flirt
Enjoy,Non-Flirt
Epdi manage panra,Non-Flirt
,Non-Flirt
thoongalaiya,Non-Flirt
Feed pana elunthen,Non-Flirt
Hi de,Non-Flirt
Covid positive na baby ku feed elam panalama?m,Flirt
Hi re,Non-Flirt
Dharalama panalam.. but wear double mask 24hours be 6 feet away from baby except feeding time.,Non-Flirt
Yaaruku ?,Non-Flirt
I'm afraid to feed her,Non-Flirt
Night enkuda dan she is sleeping,Non-Flirt
Don't get panic re...,Non-Flirt
Use sani before touching her,Non-Flirt
Even when sleepin?,Non-Flirt
Even jay got all these symptoms...we both are getting tested tomo...,Non-Flirt
I wore,Non-Flirt
Ok....,Non-Flirt
Paapa namba kudave paduka vechikalama?,Non-Flirt
6 feet away from yu,Non-Flirt
I did the same just 5 days after c section re .... nightmare that was 🤐,Non-Flirt
Follow what ever I said,Non-Flirt
🥺🥺okay,Non-Flirt
Bayapudadha,Non-Flirt
OK va,Non-Flirt
... please don't panic.,Flirt
Wru now,Non-Flirt
Took any tabs for fever,Non-Flirt
Naa mamiyar veetuku vanthuten... Till getting visa onna irupom all,Non-Flirt
5- 7 days worst ah irukum.. then you'll get alright ... but still follow these things if suppose tested positive,Flirt
Yes 2 days uh fever.. today romba mudilanu went to doc... Immediately test eduka solitanga,Non-Flirt
Fever vandhadhum mask wear panniya,Non-Flirt
Illa free ah vitutiya..,Flirt
Oh,Non-Flirt
Adha andha status ah,Non-Flirt
Not inside house... Fever vantha immediate uh I'll take tabs.. half an hr la I feel better... Constant uh throat pain iruku... From mrng pesave kashtama iruku ..,Non-Flirt
Ethu?,Non-Flirt
Jayram Nit duty,Non-Flirt
Ohhhh...,Non-Flirt
Ha ha yes yes,Flirt
Be safe when yur with baby...,Non-Flirt
Becareful re,Non-Flirt
Sure de,Non-Flirt
Wear double mask,Non-Flirt
Nalaiku moving to mom's... Here udambu serila nu solren... Naa ena panatum.nu mamiyar asking me..,Non-Flirt
Ivangala nambi kulanthaiya vitu nanum kashta patu... Mudila...,Non-Flirt
Avanga olunga take care pannalaiya,Non-Flirt
Yetho baby food alavuku veipanga..,Non-Flirt
They need only baby de...,Non-Flirt
Ena suthMa venda veruap treat panranga,Non-Flirt
Paapa va room kula vechitu lock panikuranga...,Non-Flirt
Ena panrangane ourila,Non-Flirt
Paapa vidave bayama iruku,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Okay de..,Non-Flirt
I'll update you,Non-Flirt
But I'm not feeling well dan,Non-Flirt
Hum...,Non-Flirt
Tablet pota dan fever ila but body ache semaya iruju,Non-Flirt
Throat pain la pesave mudila,Non-Flirt
Aama . Idhu ellamae enaku irundhuchu ..,Non-Flirt
Azythromycin 500,Non-Flirt
Let us c,Non-Flirt
Nalaiku morning eh poi test kunga,Non-Flirt
Kudunga,Non-Flirt
Rytu,Non-Flirt
Dolo and combiflam dan I'm taking,Non-Flirt
Parpom after tomo,Non-Flirt
Combiflam podakoodadhu,Non-Flirt
Feed panradhunala..,Non-Flirt
It is not advisable re,Non-Flirt
Please avoid it,Non-Flirt
Back to dolo again,Non-Flirt
Budhuuu,Non-Flirt
Hummm,Non-Flirt
But dolo effective uh ila,Flirt
Azythromicin 500 podalam..,Non-Flirt
Dolo Petaluma koraiyadhu... I faced it,Non-Flirt
Mostly positive dan varum pola🥺,Flirt
Nee solrathu elam 0aetha,Non-Flirt
Negative vandha well n gud,Non-Flirt
Fingers crossed,Non-Flirt
How's anaa ther,Non-Flirt
Anna,Non-Flirt
Let me know tomorrow once result comes,Non-Flirt
Ippo ... edhukum safety ah iru from baby,Non-Flirt
Gud nit re,Non-Flirt
Atha keta udane good night solra,Non-Flirt
He's gud re,Non-Flirt
Anga nethu snow rain ahm,Non-Flirt
Wow first snow uh,Flirt
Seekerama Neeyum Anga poidu,Non-Flirt
Inba is crying re,Non-Flirt
Acho.. nee paaru avana,Non-Flirt
Good night.. tc,Non-Flirt
Covid negative,Non-Flirt
Ena issue nu ini dan doc kita ketkanum,Non-Flirt
Great ...,Flirt
Appo fyn... bayapudadha,Non-Flirt
Just viral dha irukum,Non-Flirt
5 days la it will go off,Non-Flirt
,Non-Flirt
Poorna,Non-Flirt
How r yu feeling,Non-Flirt
Der,Non-Flirt
Hi de,Non-Flirt
Cold matum iruku,Non-Flirt
I'm fine,Non-Flirt
Nee epdi iruma,Non-Flirt
*iruka,Non-Flirt
Kutties ku okay uh cold ??,Non-Flirt
He is ok now,Non-Flirt
Gud,Non-Flirt
Hmmm,Non-Flirt
🤣,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Chumma aasaiku tried..,Non-Flirt
Pooooor,Non-Flirt
Kutty ponnu ponnu pappa dan apdiye...,Non-Flirt
Came to mom's place for a week,Non-Flirt
Apdiya,Non-Flirt
OK ok,Flirt
,Non-Flirt
Dress azhaga iruku de,Non-Flirt
Avanuku nalla suit aayiruku,Non-Flirt
New born apove eduthiya,Non-Flirt
Adha porakalaiyae... evlo aasaigal vechirndhe,Non-Flirt
Hey ... nethu eduthen,Non-Flirt
Next pethuko u have got an options,Non-Flirt
Idhu keku kozhandhaiyoda frock,Non-Flirt
Pic edukka avakittendhu ketrundhen,Non-Flirt
Shaaabbbbbahhahah idhukae kanna kattudhu,Non-Flirt
Athelam onnum ila.. ipo paaru Azhagu kutty uh parthone elame maariduchu,Non-Flirt
Unmaya girl baby mathiri dan irukan,Non-Flirt
Eyebrows apdi,Non-Flirt
And very expressive eyes,Non-Flirt
Keke enga vangina intha dress nu ketu solu... Very pretty,Flirt
Amazon la,Non-Flirt
PINK WINGS Baby Girl Satin-Net Knee Length Tutu Frock https://www.amazon.in/dp/B07Q5M7YS1/ref=cm_sw_r_apan_glt_i_YKHRTEPCHWM7C4C6YQV9,Non-Flirt
6 months ku vangudren,Non-Flirt
Hum,Non-Flirt
Hru,Non-Flirt
Epdi mamiyar veetla utkanthu ithelam panitu Iruka,Non-Flirt
Haha... 10 mins kooda aagala indha pic edukka,Non-Flirt
Beautiful frame it all,Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Reddy family,Non-Flirt
,Non-Flirt
<Media omitted>,Non-Flirt
Adhukudha iron and calcium tab vidama 1 year ku eduthukanum even after delivery,Non-Flirt
Very important,Non-Flirt
Taking it.. aanalum mudila,Non-Flirt
Kottitu dha valarum poorna,Non-Flirt
Valarntha deri,Non-Flirt
Adhapathi yosichu stress aana innum adhigama fall aagum,Non-Flirt
How's kiki paapa,Non-Flirt
Kandukama vitru,Non-Flirt
She's gud.... torture panra keku va,Non-Flirt
Wait,Non-Flirt
Ha ha ha... 4 months dana... Nagara started uh,Flirt
Nagarra,Non-Flirt
Kavundhuta,Non-Flirt
<Media omitted>,Non-Flirt
Wowwwwww,Non-Flirt
Party ah,Non-Flirt
Every month ah,Non-Flirt
New born pics vandhruku,Non-Flirt
Ohhhhhh,Non-Flirt
Great re,Flirt
